date,year,month,avg_price_spain_eur_mwh,min_price_spain_eur_mwh,max_price_spain_eur_mwh,daily_price_range,avg_total_matched_volume,avg_buy_sell_volume_gap,avg_total_steps,avg_total_steps_from_sides,avg_quarter_row_share,n_high_price_hours,n_low_price_hours,z_avg_price,z_daily_range,z_high_price_hours,z_steps,score_core,score_extended,score_base,score_no_steps,score_price_range_only,score_price_only,score_range_only,internal_stress_event
2021-10-03,2021,10,111.60125,15,210.98,195.98,46036.34166666667,0,1370.0833333333333,1370.0833333333333,0,2,0,0.431158527874622,1,0.08333333333333333,0.03239799063330785,0.5891300778165155,0.5208119504861152,0.5208119504861152,0.5891300778165155,0.715579263937311,0.431158527874622,1,TRUE
2021-10-30,2021,10,124.52625,58.79,192.07,133.28,48156.05,0,1427.875,1427.875,0,0,0,0.4817741679279104,0.7416457686064059,0,0.04011776128877317,0.4893679746137265,0.432208753915888,0.432208753915888,0.4893679746137265,0.6117099682671581,0.4817741679279104,0.7416457686064059,TRUE
2021-11-01,2021,11,91.19625,15,183,168,46185.525,0,1424.875,1424.875,0,0,0,0.35125043230113273,0.9397565268992982,0,0.03971702337443034,0.5164027836801725,0.45582413805759386,0.45582413805759386,0.5164027836801725,0.6455034796002155,0.35125043230113273,0.9397565268992982,TRUE
2021-11-07,2021,11,132.49291666666667,58.78,194.8,136.02,45649.46666666667,1.5158245029548803e-13,1487.8333333333333,1487.8333333333333,0,0,0,0.5129724605719747,0.7572800853610869,0,0.04812695377126383,0.5081010183732246,0.4494010864536979,0.4494010864536979,0.5081010183732246,0.6351262729665308,0.5129724605719747,0.7572800853610869,TRUE
2021-12-05,2021,12,101.9725,2.67,251.65,248.98000000000002,54704.89166666667,0,1448.4583333333333,1448.4583333333333,0,6,2,0.3934513445738019,1,0.25,0.04286726864551422,0.6073805378295208,0.5419946974653821,0.5419946974653821,0.6073805378295208,0.696725672286901,0.3934513445738019,1,TRUE
2021-12-08,2021,12,108.72666666666666,14,238.75,224.75,57574.98333333334,0,1438.2083333333333,1438.2083333333333,0,4,0,0.41990136150687096,1,0.16666666666666666,0.04149808077150956,0.6012938779360818,0.5344486179378891,0.5344486179378891,0.6012938779360818,0.7099506807534355,0.41990136150687096,1,TRUE
2021-12-27,2021,12,96.09666666666666,2.67,207.1,204.43,58261.5,-1.5158245029548803e-13,1416.9583333333333,1416.9583333333333,0,1,5,0.3704409720389381,1,0.041666666666666664,0.03865952054491453,0.5565097221489086,0.4918536256014531,0.4918536256014531,0.5565097221489086,0.685220486019469,0.3704409720389381,1,TRUE
2021-12-28,2021,12,104.88,8.06,176.03,167.97,55203.7,0,1444.875,1444.875,0,0,0,0.40483741602099227,0.9395853482486994,0,0.04238860947004919,0.5377691057078767,0.47478682844139697,0.47478682844139697,0.5377691057078767,0.6722113821348459,0.40483741602099227,0.9395853482486994,TRUE
2022-04-17,2022,4,120.43916666666667,3.7,191.54,187.84,38070.1,0,1478.25,1478.25,0,0,1,0.46576872584916423,1,0,0.04684681876711314,0.5863074903396657,0.5177037359239188,0.5177037359239188,0.5863074903396657,0.7328843629245821,0.46576872584916423,1,TRUE
2022-04-18,2022,4,103.24333333333334,45,219.69,174.69,44123.84166666667,0,1535.5416666666667,1535.5416666666667,0,1,0,0.398428059666082,0.9779293659828077,0.041666666666666664,0.05449979977018798,0.5588763035928892,0.4955084122874635,0.4955084122874635,0.5588763035928892,0.6881787128244449,0.398428059666082,0.9779293659828077,TRUE
2022-04-20,2022,4,85.18916666666667,6,148,142,53346.95,1.5158245029548803e-13,1536.4583333333333,1536.4583333333333,0,0,0,0.32772607115837776,0.7914016963804272,0,0.05462224746623716,0.447651107015522,0.3971569433852054,0.3971569433852054,0.447651107015522,0.5595638837694025,0.32772607115837776,0.7914016963804272,TRUE
2022-04-23,2022,4,86.24875,1.17,182.48,181.31,50944.35833333334,0,1470.625,1470.625,0,0,7,0.33187550934843296,1,0,0.04582827656815845,0.5327502037393732,0.4707392559287673,0.4707392559287673,0.5327502037393732,0.6659377546742165,0.33187550934843296,1,TRUE
